Replicate Name,File Name,Sample Type,Isotope Label Type,Fragment Ion Type,Transition Note,Analyte Concentration,Molecule List Name,Molecule Name,Precursor Mz,Product Mz,Points Across Peak,Background,Area,Fwhm
13_std500,mtab_Zoop2_BC_lumos_071423_021.raw,Standard,heavyD5,precursor,,500,molecules,2′deoxycytidine,335.1409,335.1409,13,0,4157,0.01
14_std700,mtab_Zoop2_BC_lumos_071423_022.raw,Standard,heavyD5,precursor,,700,molecules,2′deoxycytidine,335.1409,335.1409,13,0,1373,0.04
15_std1000,mtab_Zoop2_BC_lumos_071423_023.raw,Standard,heavyD5,precursor,,1000,molecules,2′deoxycytidine,335.1409,335.1409,13,0,1579,0.04
16_std3000,mtab_Zoop2_BC_lumos_071423_024.raw,Standard,heavyD5,precursor,,3000,molecules,2′deoxycytidine,335.1409,335.1409,12,0,1512,0.03
17_std7000,mtab_Zoop2_BC_lumos_071423_025.raw,Standard,heavyD5,precursor,,7000,molecules,2′deoxycytidine,335.1409,335.1409,12,0,3398,0.01
pool1,mtab_Zoop2_BC_lumos_071423_027.raw,Quality Control,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,13,0,3110,0.01
pool2,mtab_Zoop2_BC_lumos_071423_039.raw,Quality Control,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,11,0,856,0.01
pool3,mtab_Zoop2_BC_lumos_071423_051.raw,Quality Control,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,12,0,1114,0.03
18_t0_ctrl_6,mtab_Zoop2_BC_lumos_071423_033.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,13,0,350,0.01
19_t0_ctrl_16,mtab_Zoop2_BC_lumos_071423_050.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,12,0,617,0.01
20_t0_ctrl_4,mtab_Zoop2_BC_lumos_071423_032.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,12,0,656,0.01
21_t6_ctrl_53,mtab_Zoop2_BC_lumos_071423_049.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,12,0,480,0.01
22_t6_ctrl_26,mtab_Zoop2_BC_lumos_071423_030.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,12,0,1291,0.02
23_t6_ctrl_22,mtab_Zoop2_BC_lumos_071423_042.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,11,0,3965,0.01
24_t6_Px_52,mtab_Zoop2_BC_lumos_071423_046.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,12,255,1115,0.01
25_t6_Px_12,mtab_Zoop2_BC_lumos_071423_031.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,13,0,564,0.01
26_t6_Px_11,mtab_Zoop2_BC_lumos_071423_044.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,11,330,405,0.01
27_t12_ctrl_2,mtab_Zoop2_BC_lumos_071423_040.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,11,0,1105,0.04
28_t12_ctrl_5,mtab_Zoop2_BC_lumos_071423_038.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,12,0,757,0.01
29_t12_ctrl_25,mtab_Zoop2_BC_lumos_071423_029.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,12,0,6304,0.01
30_t12_Px_57,mtab_Zoop2_BC_lumos_071423_036.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,11,0,1760,0.01
31_t12_Px_10,mtab_Zoop2_BC_lumos_071423_045.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,11,0,3783,0.01
32_t12_Px_18,mtab_Zoop2_BC_lumos_071423_043.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,11,0,2147,0.02
33_t12_Euph_24,mtab_Zoop2_BC_lumos_071423_041.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,11,0,7242,0.01
34_t12_Euph_68,mtab_Zoop2_BC_lumos_071423_034.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,12,0,41035,0.01
35_t12_Euph_15,mtab_Zoop2_BC_lumos_071423_035.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,11,0,16187,0.01
36_t12_Cpy_3,mtab_Zoop2_BC_lumos_071423_047.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,11,0,434,0.01
37_t12_Cpy_9,mtab_Zoop2_BC_lumos_071423_028.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,13,0,482,0.02
38_t12_Amph_17,mtab_Zoop2_BC_lumos_071423_048.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,11,0,4482,0.01
39_t12_Amph_21,mtab_Zoop2_BC_lumos_071423_037.raw,Unknown,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,11,0,3964,0.01
MQ1,mtab_Zoop2_BC_lumos_071423_003.raw,Double Blank,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,16,0,0,0.07
MQ2,mtab_Zoop2_BC_lumos_071423_096.raw,Double Blank,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,14,0,0,0.08
1_std0,mtab_Zoop2_BC_lumos_071423_009.raw,Standard,heavyC13,precursor,,0,molecules,2′deoxycytidine,336.12963,336.12963,12,0,0,0.08
2_std0,mtab_Zoop2_BC_lumos_071423_010.raw,Standard,heavyC13,precursor,,0,molecules,2′deoxycytidine,336.12963,336.12963,13,0,0,0.08
3_std0,mtab_Zoop2_BC_lumos_071423_011.raw,Standard,heavyC13,precursor,,0,molecules,2′deoxycytidine,336.12963,336.12963,13,0,0,0.08
4_std5,mtab_Zoop2_BC_lumos_071423_012.raw,Standard,heavyC13,precursor,,5,molecules,2′deoxycytidine,336.12963,336.12963,13,0,0,0.08
5_std10,mtab_Zoop2_BC_lumos_071423_013.raw,Standard,heavyC13,precursor,,10,molecules,2′deoxycytidine,336.12963,336.12963,12,0,0,0.08
6_std20,mtab_Zoop2_BC_lumos_071423_014.raw,Standard,heavyC13,precursor,,20,molecules,2′deoxycytidine,336.12963,336.12963,13,0,0,0.08
7_std30,mtab_Zoop2_BC_lumos_071423_015.raw,Standard,heavyC13,precursor,,30,molecules,2′deoxycytidine,336.12963,336.12963,13,0,0,0.07
8_std50,mtab_Zoop2_BC_lumos_071423_016.raw,Standard,heavyC13,precursor,,50,molecules,2′deoxycytidine,336.12963,336.12963,12,0,0,0.08
9_std70,mtab_Zoop2_BC_lumos_071423_017.raw,Standard,heavyC13,precursor,,70,molecules,2′deoxycytidine,336.12963,336.12963,13,0,0,0.08
10_std85,mtab_Zoop2_BC_lumos_071423_018.raw,Standard,heavyC13,precursor,,85,molecules,2′deoxycytidine,336.12963,336.12963,13,0,0,0.07
11_std100,mtab_Zoop2_BC_lumos_071423_019.raw,Standard,heavyC13,precursor,,100,molecules,2′deoxycytidine,336.12963,336.12963,13,0,0,0.08
12_std300,mtab_Zoop2_BC_lumos_071423_020.raw,Standard,heavyC13,precursor,,300,molecules,2′deoxycytidine,336.12963,336.12963,13,0,0,0.07
13_std500,mtab_Zoop2_BC_lumos_071423_021.raw,Standard,heavyC13,precursor,,500,molecules,2′deoxycytidine,336.12963,336.12963,13,0,0,0.08
14_std700,mtab_Zoop2_BC_lumos_071423_022.raw,Standard,heavyC13,precursor,,700,molecules,2′deoxycytidine,336.12963,336.12963,13,0,0,0.08
15_std1000,mtab_Zoop2_BC_lumos_071423_023.raw,Standard,heavyC13,precursor,,1000,molecules,2′deoxycytidine,336.12963,336.12963,13,0,0,0.08
16_std3000,mtab_Zoop2_BC_lumos_071423_024.raw,Standard,heavyC13,precursor,,3000,molecules,2′deoxycytidine,336.12963,336.12963,12,0,0,0.07
17_std7000,mtab_Zoop2_BC_lumos_071423_025.raw,Standard,heavyC13,precursor,,7000,molecules,2′deoxycytidine,336.12963,336.12963,12,0,0,0.08
pool1,mtab_Zoop2_BC_lumos_071423_027.raw,Quality Control,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,13,0,0,0.08
pool2,mtab_Zoop2_BC_lumos_071423_039.raw,Quality Control,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,11,0,0,0.08
pool3,mtab_Zoop2_BC_lumos_071423_051.raw,Quality Control,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,12,0,0,0.08
18_t0_ctrl_6,mtab_Zoop2_BC_lumos_071423_033.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,13,0,0,0.08
19_t0_ctrl_16,mtab_Zoop2_BC_lumos_071423_050.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,12,0,0,0.08
20_t0_ctrl_4,mtab_Zoop2_BC_lumos_071423_032.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,12,0,0,0.08
21_t6_ctrl_53,mtab_Zoop2_BC_lumos_071423_049.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,12,0,0,0.08
22_t6_ctrl_26,mtab_Zoop2_BC_lumos_071423_030.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,12,0,0,0.08
23_t6_ctrl_22,mtab_Zoop2_BC_lumos_071423_042.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,11,0,0,0.08
